binarize,average,distribution,sample_size,stat,pvalue
True,True,same_mean,30.0,-0.016026764942089083,0.5027
True,True,same_mean,30.0,0.09501389509992272,0.0626
True,True,same_mean,30.0,0.016664949409820756,0.2462
True,True,same_mean,30.0,0.1336416720587925,0.0343
True,True,same_mean,30.0,0.002177172641247652,0.3753
True,True,same_mean,30.0,0.05223503144157182,0.1289
True,True,same_mean,30.0,0.04199991567841477,0.1605
True,True,same_mean,30.0,-0.041249019000092486,0.9477
True,True,same_mean,30.0,-0.04003153707887985,0.8983
True,True,same_mean,30.0,0.2211591452051188,0.0104
True,True,same_mean,30.0,-0.0167345060871412,0.5618
True,True,same_mean,30.0,0.0009476262224008963,0.3313
True,True,same_mean,30.0,-0.040295219179323716,0.8868
True,True,same_mean,30.0,0.03813884529130959,0.1818
True,True,same_mean,30.0,0.06420046939353237,0.1018
True,True,equal,40.0,-0.0057401446969359326,0.4676
True,True,equal,40.0,0.019209466991227882,0.2136
True,True,equal,40.0,-0.024683093210820427,0.7467
True,True,equal,40.0,-0.0068659735103893706,0.4439
True,True,equal,40.0,-0.0005514935203143668,0.341
True,True,equal,40.0,0.024093884690008692,0.1822
True,True,equal,40.0,-0.011405677292153088,0.5413
True,True,equal,40.0,0.029705880571472998,0.1779
True,True,equal,40.0,0.008881874748275755,0.2802
True,True,equal,40.0,-0.006751338562105793,0.4257
True,True,equal,40.0,-0.012297493552018302,0.4602
True,True,equal,40.0,-0.03392379963671751,0.9401
True,True,equal,40.0,0.007385674389868883,0.2701
True,True,equal,40.0,-0.005682613726486084,0.4037
True,True,equal,40.0,0.036629411225104366,0.1261
True,True,equal,40.0,-0.0017111348353056085,0.3647
True,True,equal,40.0,0.0368094550780314,0.1272
True,True,equal,40.0,-0.017249508989966654,0.6461
True,True,equal,40.0,-0.02097798260972366,0.6377
True,True,equal,40.0,0.043809110141128635,0.1182
True,True,equal,40.0,-0.0231549910457278,0.7346
True,True,equal,40.0,-0.016488889772208398,0.6272
True,True,equal,40.0,-0.005256899340354239,0.4537
True,True,equal,40.0,0.05185240109098108,0.0856
True,True,equal,40.0,-0.03329641749796687,0.9461
True,True,equal,40.0,-0.029279983123966836,0.8946
True,True,equal,40.0,-0.039074704970951384,0.9937
True,True,equal,40.0,0.008300117868084732,0.3067
True,True,equal,40.0,0.1594202881262394,0.0109
True,True,equal,40.0,-0.028693338447985373,0.7952
True,True,equal,40.0,0.0696964120035967,0.0661
True,True,equal,40.0,0.003573099181892846,0.3002
True,True,equal,40.0,-0.027540410892621832,0.7887
True,True,equal,40.0,-0.035257376933555316,0.9682
True,True,equal,40.0,-0.018302778088447536,0.6473
True,True,equal,40.0,-0.007020434715416353,0.4514
True,True,equal,40.0,0.023896763255129645,0.1734
True,True,equal,40.0,-0.015084901736750703,0.5469
True,True,equal,40.0,-0.021986112326205624,0.6734
True,True,equal,40.0,-0.02018451222119844,0.6893
True,True,equal,40.0,-0.02463092501142572,0.7679
True,True,equal,40.0,0.013064362302378948,0.2573
True,True,equal,40.0,-0.021797641835393327,0.7158
True,True,equal,40.0,0.08385642397383501,0.0485
True,True,equal,40.0,-0.014000274920311105,0.5752
True,True,equal,40.0,-0.02137874997449596,0.6665
True,True,equal,40.0,0.006853374261167912,0.3205
True,True,equal,40.0,-0.005368188987497727,0.4505
True,True,equal,40.0,0.056881054619498224,0.0756
True,True,equal,40.0,0.0032097948789775108,0.3357
True,True,same_mean,40.0,-0.03607442719439878,0.9771
True,True,same_mean,40.0,-0.011734832533406323,0.5368
True,True,same_mean,40.0,-0.010877386632507305,0.4819
True,True,same_mean,40.0,0.051823473102548666,0.0842
True,True,same_mean,40.0,-0.022780786773278227,0.7427
True,True,same_mean,40.0,-0.027503899950384436,0.8599
True,True,same_mean,40.0,-0.0049469331346487285,0.4379
True,True,same_mean,40.0,-0.01971693533604581,0.5903
True,True,same_mean,40.0,-0.026521406414756414,0.7525
True,True,same_mean,40.0,-0.033432460714406594,0.8681
True,True,same_mean,40.0,0.049219694378216564,0.0988
True,True,same_mean,40.0,0.1302555735507504,0.0276
True,True,same_mean,40.0,-0.0064974284856582284,0.4568
True,True,same_mean,40.0,0.2417092868915579,0.0012
True,True,same_mean,40.0,0.04868089522963282,0.1001
True,True,same_mean,40.0,0.029396255528443924,0.1683
True,True,same_mean,40.0,-0.023790728597710968,0.7066
True,True,same_mean,40.0,0.1608396098882122,0.0125
True,True,same_mean,40.0,0.1036464030975008,0.0368
True,True,same_mean,40.0,0.015014614715894584,0.222
True,True,same_mean,40.0,-0.03298468077896885,0.8704
True,True,same_mean,40.0,-0.020469663398309686,0.6859
True,True,same_mean,40.0,0.010909041592351593,0.2583
True,True,same_mean,40.0,0.06688244174300363,0.0635
True,True,same_mean,40.0,0.14455009157776494,0.0191
True,True,same_mean,40.0,-0.012859031780753144,0.5019
True,True,same_mean,40.0,0.03345958019832244,0.1322
True,True,same_mean,40.0,-0.024665989617354896,0.7277
True,True,same_mean,40.0,-0.03134113179264692,0.828
True,True,same_mean,40.0,6.692068591009458e-17,0.3339
True,True,same_mean,40.0,-0.013915918470488885,0.562
True,True,same_mean,40.0,-0.009669572888165385,0.514
True,True,same_mean,40.0,0.2487676269783472,0.0008
True,True,same_mean,40.0,-0.017319457840185258,0.6327
True,True,same_mean,40.0,-0.022585164562823685,0.7585
True,True,same_mean,40.0,-0.0058783137270914864,0.4661
True,True,same_mean,40.0,-0.0136611218661137,0.593
True,True,same_mean,40.0,0.24959207801956015,0.0011
True,True,same_mean,40.0,0.010679420977679576,0.2483
True,True,same_mean,40.0,0.007886083922631373,0.2733
True,True,same_mean,40.0,0.04606142307128156,0.0901
True,True,same_mean,40.0,0.007856376098574782,0.2741
True,True,same_mean,40.0,0.016126092956064042,0.218
True,True,same_mean,40.0,0.22273842016152465,0.0011
True,True,same_mean,40.0,-0.04142203228353631,0.9966
True,True,same_mean,40.0,-0.003407999678939128,0.3914
True,True,same_mean,40.0,0.011869119458029877,0.2677
True,True,same_mean,40.0,-0.007423200260703608,0.4945
True,True,same_mean,40.0,-0.04093855136485891,0.9931
True,True,same_mean,40.0,-0.004871370229337802,0.4056
True,True,equal,50.0,-0.006623219434537765,0.4743
True,True,equal,50.0,0.025858991600454673,0.1438
True,True,equal,50.0,-0.005139087890565628,0.4605
True,True,equal,50.0,0.007508586048691913,0.2854
True,True,equal,50.0,-0.0039226552956467264,0.4525
True,True,equal,50.0,0.013765968626686964,0.2276
True,True,equal,50.0,-0.02335653168821001,0.9005
True,True,equal,50.0,0.014734053726833602,0.2195
True,True,equal,50.0,-0.016224230235621938,0.7004
True,True,equal,50.0,0.006389348827495726,0.278
True,True,equal,50.0,-0.02539846239409629,0.9035
True,True,equal,50.0,-0.012117611512915034,0.5431
True,True,equal,50.0,-0.009166919238876824,0.4811
True,True,equal,50.0,-0.015766597249068447,0.6996
True,True,equal,50.0,-0.009044817591426405,0.5004
True,True,equal,50.0,-0.011538908137377756,0.5777
True,True,equal,50.0,-0.021784056563053208,0.8415
True,True,equal,50.0,0.00154062775717736,0.3267
True,True,equal,50.0,0.034755806643510516,0.1049
True,True,equal,50.0,-0.006350681843365002,0.4616
True,True,equal,50.0,-0.017883017363599468,0.7090000000000001
True,True,equal,50.0,0.035495347036941474,0.1034
True,True,equal,50.0,-0.029496236284836587,0.9807
True,True,equal,50.0,-0.020308504125552115,0.7717
True,True,equal,50.0,0.012067689219064566,0.24600000000000002
True,True,equal,50.0,-0.008691605955373948,0.4726
True,True,equal,50.0,-0.010896205928346827,0.4981
True,True,equal,50.0,0.018666776407003108,0.1906
True,True,equal,50.0,0.0015955717423988551,0.3491
True,True,equal,50.0,-0.004144050390382557,0.4556
True,True,equal,50.0,0.0047010201411231784,0.2979
True,True,equal,50.0,-0.0063734974970284745,0.4692
True,True,equal,50.0,0.016772035094045287,0.1792
True,True,equal,50.0,-0.0032573118556480877,0.4332
True,True,equal,50.0,0.005309101822083564,0.3114
True,True,equal,50.0,0.12611823148709406,0.0154
True,True,equal,50.0,-0.0022933666951317853,0.3591
True,True,equal,50.0,-0.007888438420621017,0.5247
True,True,equal,50.0,0.012548102031386964,0.24600000000000002
True,True,equal,50.0,0.007198320012242708,0.2734
True,True,equal,50.0,-0.012395500458196264,0.6163
True,True,equal,50.0,-0.0022469214964851284,0.3595
True,True,equal,50.0,0.021418825223318626,0.1665
True,True,equal,50.0,-0.01687357757771004,0.6828
True,True,equal,50.0,-0.006213846997818886,0.4317
True,True,equal,50.0,-0.020010713327686776,0.7082
True,True,equal,50.0,-0.015969337119443452,0.7139
True,True,equal,50.0,-0.008444958302970386,0.5247
True,True,equal,50.0,-0.018670994777483945,0.6778
True,True,equal,50.0,-0.024021914811895133,0.8705
True,True,same_mean,50.0,0.034470734103913436,0.1159
True,True,same_mean,50.0,-0.020840323788140488,0.7648
True,True,same_mean,50.0,0.0015646687638694776,0.3563
True,True,same_mean,50.0,-0.01605788196516699,0.6373
True,True,same_mean,50.0,-0.01512746554842694,0.6883
True,True,same_mean,50.0,-0.016550389410529266,0.7084
True,True,same_mean,50.0,0.0163090587466141,0.20800000000000002
True,True,same_mean,50.0,0.002874397274903339,0.3231
True,True,same_mean,50.0,0.07691393767038814,0.0386
True,True,same_mean,50.0,-0.016732212825899734,0.6542
True,True,same_mean,50.0,0.009606285970779794,0.2558
True,True,same_mean,50.0,0.043916383187193785,0.081
True,True,same_mean,50.0,0.11348516252983287,0.0212
True,True,same_mean,50.0,-0.028433903407014783,0.9402
True,True,same_mean,50.0,0.020197425537182016,0.1627
True,True,same_mean,50.0,-0.021177882556419586,0.7954
True,True,same_mean,50.0,-0.0012358638854693784,0.3794
True,True,same_mean,50.0,-0.0040252442708930795,0.4419
True,True,same_mean,50.0,0.0140273712126561,0.2056
True,True,same_mean,50.0,0.04467122160576357,0.0759
True,True,same_mean,50.0,-0.013080564793818831,0.593
