binarize,average,distribution,sample_size,stat,pvalue
True,True,diff_mean,60.0,0.26858016426983056,0.0001
True,True,diff_mean,60.0,0.2651473621647937,0.0001
True,True,diff_mean,60.0,0.30755345857022937,0.0001
True,True,diff_mean,60.0,0.21528631783172122,0.0001
True,True,diff_mean,60.0,0.4615611892072127,0.0001
True,True,diff_mean,60.0,0.4251258794902587,0.0001
True,True,diff_mean,60.0,0.3818915558504741,0.0001
True,True,diff_mean,60.0,0.3569775221490171,0.0001
True,True,diff_mean,60.0,0.4057025609090405,0.0001
True,True,diff_mean,60.0,0.31982441302258985,0.0001
True,True,diff_mean,60.0,0.289616811044472,0.0001
True,True,diff_mean,60.0,0.17069139563919994,0.0013
True,True,diff_mean,60.0,0.22943354023166806,0.0001
True,True,diff_mean,60.0,0.4929430450074476,0.0001
True,True,diff_mean,60.0,0.44288815113106833,0.0001
True,True,diff_mean,60.0,0.30837701692307706,0.0001
True,True,diff_mean,60.0,0.4283758933331369,0.0001
True,True,diff_mean,60.0,0.39726796953916776,0.0001
True,True,diff_mean,70.0,0.2835185526481855,0.0001
True,True,diff_mean,70.0,0.3289687119981616,0.0001
True,True,diff_mean,70.0,0.2962673483032041,0.0001
True,True,diff_mean,70.0,0.33732862530611457,0.0001
True,True,diff_mean,70.0,0.3834743947271205,0.0001
True,True,diff_mean,70.0,0.401146146686788,0.0001
True,True,diff_mean,70.0,0.34055170561299225,0.0001
True,True,diff_mean,70.0,0.3827683562491211,0.0001
True,True,diff_mean,70.0,0.34962936066231914,0.0001
True,True,diff_mean,70.0,0.36380521650990144,0.0001
True,True,diff_mean,70.0,0.35021598538953563,0.0001
True,True,diff_mean,70.0,0.3386173805696947,0.0001
True,True,diff_mean,70.0,0.5204775910925656,0.0001
True,True,diff_mean,70.0,0.34947108544312067,0.0001
True,True,diff_mean,70.0,0.4312712306311135,0.0001
True,True,diff_mean,70.0,0.3287369704149056,0.0001
True,True,diff_mean,70.0,0.2554020903950073,0.0001
True,True,diff_mean,70.0,0.5484370889456425,0.0001
True,True,diff_mean,70.0,0.41797244833376024,0.0001
True,True,diff_mean,70.0,0.29969821034594496,0.0001
True,True,diff_mean,70.0,0.12532701590781314,0.0022
True,True,diff_mean,70.0,0.32260087586248026,0.0001
True,True,diff_mean,70.0,0.2752581157972342,0.0001
True,True,diff_mean,70.0,0.3473452124546028,0.0001
True,True,diff_mean,70.0,0.346015168181395,0.0001
True,True,diff_mean,70.0,0.4669887173175089,0.0001
True,True,diff_mean,70.0,0.14768260215497706,0.0007
True,True,diff_mean,70.0,0.1859092791337607,0.0003
True,True,diff_mean,70.0,0.38427253098474023,0.0001
True,True,diff_mean,70.0,0.4303462765209933,0.0001
True,True,diff_mean,70.0,0.30185828084603744,0.0001
True,True,diff_mean,70.0,0.251878896861527,0.0001
True,True,diff_mean,70.0,0.4945956086395986,0.0001
True,True,diff_mean,70.0,0.5179071856241318,0.0001
True,True,diff_mean,70.0,0.3666357517220439,0.0001
True,True,diff_mean,70.0,0.1741466726488891,0.0003
True,True,diff_mean,70.0,0.28651283123841126,0.0001
True,True,diff_mean,70.0,0.1447082020580534,0.0008
True,True,diff_mean,70.0,0.26425432310275876,0.0001
True,True,diff_mean,70.0,0.5021908560413715,0.0001
True,True,diff_mean,70.0,0.5685342851974338,0.0001
True,True,diff_mean,70.0,0.419815574421534,0.0001
True,True,diff_mean,70.0,0.39459921392423714,0.0001
True,True,diff_mean,70.0,0.16638566839744223,0.001
True,True,diff_mean,70.0,0.39067919227313386,0.0001
True,True,diff_mean,70.0,0.3664191267155278,0.0001
True,True,diff_mean,70.0,0.3683147786813337,0.0001
True,True,diff_mean,70.0,0.5176726907963156,0.0001
True,True,diff_mean,70.0,0.5377058749454533,0.0001
True,True,diff_mean,70.0,0.35988855447114076,0.0001
True,True,diff_mean,80.0,0.5021058086528788,0.0001
True,True,diff_mean,80.0,0.4024461030076487,0.0001
True,True,diff_mean,80.0,0.26004243167252034,0.0001
True,True,diff_mean,80.0,0.3593716355562711,0.0001
True,True,diff_mean,80.0,0.3762093753682114,0.0001
True,True,diff_mean,80.0,0.4612309816439849,0.0001
True,True,diff_mean,80.0,0.41730703822424603,0.0001
True,True,diff_mean,80.0,0.3123616490598167,0.0001
True,True,diff_mean,80.0,0.43396489616552725,0.0001
True,True,diff_mean,80.0,0.5428366342436689,0.0001
True,True,diff_mean,80.0,0.45906734792248743,0.0001
True,True,diff_mean,80.0,0.38097450892632445,0.0001
True,True,diff_mean,80.0,0.4959982091892745,0.0001
True,True,diff_mean,80.0,0.2175857866923135,0.0001
True,True,diff_mean,80.0,0.31173740259368454,0.0001
True,True,diff_mean,80.0,0.3254626853903495,0.0001
True,True,diff_mean,80.0,0.5035478435423437,0.0001
True,True,diff_mean,80.0,0.4214890555553535,0.0001
True,True,diff_mean,80.0,0.3036241016704297,0.0001
True,True,diff_mean,80.0,0.43884699571613806,0.0001
True,True,diff_mean,80.0,0.41874003664283166,0.0001
True,True,diff_mean,80.0,0.41383392405240677,0.0001
True,True,diff_mean,80.0,0.1727467838586741,0.0001
True,True,diff_mean,80.0,0.38308088576922883,0.0001
True,True,diff_mean,80.0,0.3099704648397781,0.0001
True,True,diff_mean,80.0,0.26538408976816696,0.0001
True,True,diff_mean,80.0,0.3401289856410429,0.0001
True,True,diff_mean,80.0,0.3064301616401582,0.0001
True,True,diff_mean,80.0,0.2789009155298404,0.0001
True,True,diff_mean,80.0,0.2837115149688063,0.0001
True,True,diff_mean,80.0,0.3300651488769281,0.0001
True,True,diff_mean,80.0,0.32909883685827573,0.0001
